state/inchar,<,>,E|e,=,Letter,Digit,:,*,/,+,-,Space|NewLine,Tab,{,},.,other
0,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1
2,6,9,4,10,4,21,18,30,30,28,28,2,0,1,3,3,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,3,4,3,4,4,3,3,3,3,3,5,3,3,3,3,3
5,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
6,3,12,3,7,3,3,3,3,3,3,3,14,3,3,3,3,3
7,3,3,3,3,3,3,3,3,3,3,3,8,3,3,3,3,3
8,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
9,3,3,3,15,3,3,3,3,3,3,3,17,3,3,3,3,3
10,3,3,3,3,3,3,3,3,3,3,3,11,3,3,3,3,3
11,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
12,3,3,3,3,3,3,3,3,3,3,3,13,3,3,3,3,3
13,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
14,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
15,3,3,3,3,3,3,3,3,3,3,3,16,3,3,3,3,3
16,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
17,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
18,3,3,3,19,3,3,3,3,3,3,3,3,3,3,3,3,3
19,3,3,3,3,3,3,3,3,3,3,3,20,3,3,3,3,3
20,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
21,3,3,25,3,3,21,3,3,3,3,3,22,3,3,3,23,3
22,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
23,3,3,3,3,3,24,3,3,3,3,3,3,3,3,3,3,3
24,3,3,25,3,3,24,3,3,3,3,3,32,3,3,3,3,3
25,3,3,3,3,3,26,3,3,3,33,33,3,3,3,3,3,3
26,3,3,3,3,3,26,3,3,3,3,3,27,3,3,3,3,3
27,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
28,3,3,3,3,3,21,3,3,3,3,3,29,3,3,3,3,3
29,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
30,3,3,3,3,3,3,3,3,3,3,3,31,3,3,3,3,3
31,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
32,6,9,4,10,4,21,18,30,30,28,28,0,0,1,3,3,0
33,3,3,3,3,3,26,3,3,3,3,3,3,3,3,3,3,3
